"incident_id","start_time","case_number","priority","district","beat","initial_type","final_tru_type"
"P2600196386","2026-07-01T15:47:09.000","260028991","4","4D","L3","THEFT/LARCENY FROM AUTO - OCCURRED EARLIER","THEFTFAT - TRS / SUPPLEMENTAL INFORMATION - TELEPHONE REPORTING UNIT"
"P2600196347","2026-07-01T15:07:05.000","260029001","4","4D","K1","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600196324","2026-07-01T14:41:20.000","260029008","4","1D","A2","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600196387","2026-07-01T15:48:39.000","260029027","4","6D","P2","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600197013","2026-07-02T04:48:12.000","260029078","4","6D","R1","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600197044","2026-07-02T05:45:47.000","260029081","4","4D","K1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197071","2026-07-02T06:27:52.000","260029082","4","6D","R1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197075","2026-07-02T06:34:33.000","260029083","4","2D","D1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197050","2026-07-02T05:58:45.000","260029084","4","6D","P3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197086","2026-07-02T06:59:27.000","260029088","4","1D","A2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600197082","2026-07-02T06:48:41.000","260029089","4","2D","D1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197111","2026-07-02T07:27:14.000","260029093","4","2D","D1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197106","2026-07-02T07:22:00.000","260029094","4","2D","D1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197087","2026-07-02T07:04:28.000","260029096","4","2D","D1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197116","2026-07-02T07:41:41.000","260029099","4","5D","N1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197151","2026-07-02T08:29:41.000","260029100","4","6D","R3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197130","2026-07-02T07:58:16.000","260029101","4","5D","N1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197104","2026-07-02T07:19:56.000","260029104","4","6D","R1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197168","2026-07-02T08:56:05.000","260029106","4","4D","L1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197209","2026-07-02T09:48:49.000","260029116","4","1D","B3","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600197205","2026-07-02T09:46:04.000","260029117","4","2D","D1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197215","2026-07-02T09:55:31.000","260029124","4","1D","B2","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600197305","2026-07-02T11:40:29.000","260029129","4","3D","I3","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600197382","2026-07-02T12:43:20.000","260029146","4","2D","D1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197329","2026-07-02T11:57:49.000","260029152","4","5D","M3","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600197377","2026-07-02T12:37:28.000","260029159","4","2D","D1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197519","2026-07-02T15:31:31.000","260029168","4","3D","I1","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600197523","2026-07-02T15:33:28.000","260029172","4","3D","I1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197580","2026-07-02T16:27:19.000","260029185","4","2D","D1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197641","2026-07-02T17:31:49.000","260029199","4","4D","L1","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600197699","2026-07-02T18:35:12.000","260029224","4","6D","P2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600197817","2026-07-02T20:57:36.000","260029225","4","2D","E1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600198133","2026-07-03T05:23:10.000","260029249","4","6D","P3","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600198147","2026-07-03T06:08:06.000","260029250","4","3D","I2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600198178","2026-07-03T07:21:51.000","260029252","4","6D","P3","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600198194","2026-07-03T07:28:41.000","260029253","4","1D","A2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600198210","2026-07-03T08:10:46.000","260029257","4","6D","P1","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600198207","2026-07-03T08:13:17.000","260029266","4","4D","K3","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600198289","2026-07-03T10:00:58.000","260029273","4","4D","L1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600198280","2026-07-03T09:43:51.000","260029274","4","3D","I2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600198302","2026-07-03T10:19:28.000","260029276","4","6D","P3","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600198311","2026-07-03T10:29:04.000","260029279","4","3D","I2","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600198326","2026-07-03T10:42:31.000","260029281","4","3D","I1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600198338","2026-07-03T10:48:20.000","260029284","4","4D","L3","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600198380","2026-07-03T11:29:08.000","260029288","4","6D","P1","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600198387","2026-07-03T11:49:32.000","260029289","4","4D","L3","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600198392","2026-07-03T11:59:28.000","260029294","4","5D","M2","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600198429","2026-07-03T12:33:52.000","260029298","4","6D","P2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600198425","2026-07-03T12:32:18.000","260029302","4","3D","I2","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600198451","2026-07-03T13:02:29.000","260029305","4","5D","N2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600198487","2026-07-03T13:44:51.000","260029307","4","5D","M2","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600198428","2026-07-03T12:37:03.000","260029308","4","6D","R2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600198543","2026-07-03T15:04:53.000","260029315","4","6D","P3","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600198606","2026-07-03T16:07:49.000","260029330","4","3D","I1","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600198522","2026-07-03T14:41:12.000","260029332","4","4D","L1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600198655","2026-07-03T17:08:35.000","260029334","4","6D","P3","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600198732","2026-07-03T18:49:52.000","260029345","4","4D","L2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600198745","2026-07-03T19:06:42.000","260029346","4","3D","I2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600198779","2026-07-03T19:41:34.000","260029356","4","1D","A1","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600198846","2026-07-03T20:49:37.000","260029363","4","1D","A2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600198836","2026-07-03T20:41:47.000","260029369","4","2D","E2","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600198951","2026-07-03T22:19:20.000","260029372","4","4D","L3","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600199039","2026-07-03T23:45:18.000","260029391","4","4D","K3","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600198825","2026-07-03T20:26:39.000","260029392","4","4D","L2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600199264","2026-07-04T04:51:09.000","260029410","4","1D","A2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600199379","2026-07-04T09:32:41.000","260029415","4","2D","D1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600199451","2026-07-04T11:34:07.000","260029424","4","4D","L3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600199461","2026-07-04T11:56:11.000","260029425","4","4D","L2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600199450","2026-07-04T11:32:58.000","260029426","4","3D","G1","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600199468","2026-07-04T12:10:22.000","260029430","4","2D","D1","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600199520","2026-07-04T13:28:46.000","260029440","4","4D","L3","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600199602","2026-07-04T15:23:08.000","260029453","4","1D","B2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600199570","2026-07-04T14:48:07.000","260029455","4","2D","D1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600199615","2026-07-04T15:42:49.000","260029456","4","3D","I2","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600199793","2026-07-04T19:06:15.000","260029470","4","5D","N1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600199979","2026-07-04T21:59:18.000","260029484","4","5D","M1","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600200225","2026-07-05T01:00:32.000","260029493","4","4D","L1","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600200296","2026-07-05T02:19:32.000","260029504","4","6D","R3","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600200379","2026-07-05T05:06:40.000","260029509","4","2D","E2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600200388","2026-07-05T05:34:47.000","260029510","4","6D","R3","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600200496","2026-07-05T09:08:40.000","260029521","4","6D","R2","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600200541","2026-07-05T10:24:05.000","260029530","4","2D","D1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600200523","2026-07-05T09:56:05.000","260029532","4","3D","I2","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600200575","2026-07-05T11:05:04.000","260029542","4","5D","M1","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600200614","2026-07-05T12:21:40.000","260029543","4","5D","N3","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600200596","2026-07-05T11:44:15.000","260029547","4","5D","N2","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600200627","2026-07-05T12:29:47.000","260029549","4","6D","R3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600200630","2026-07-05T12:36:29.000","260029552","4","6D","R3","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600200675","2026-07-05T13:40:26.000","260029555","4","6D","R3","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600200687","2026-07-05T13:59:02.000","260029556","4","6D","P3","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600200736","2026-07-05T14:57:52.000","260029562","4","4D","K3","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600200850","2026-07-05T17:34:16.000","260029578","4","4D","L3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600200869","2026-07-05T17:58:14.000","260029584","4","4D","L1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600200933","2026-07-05T19:18:42.000","260029590","4","4D","L3","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600200972","2026-07-05T19:50:50.000","260029594","4","6D","P2","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600200961","2026-07-05T19:46:52.000","260029595","4","4D","L1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600201421","2026-07-06T07:47:16.000","260029616","4","3D","G1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
